color,count
584642,48
56433d,101
604d47,133
6b5852,112
5f4b44,181
705c55,115
65514a,160
49322a,91
6b544c,152
533c34,128
89726a,30
887169,55
624c3f,140
856f62,53
695346,148
6a5447,121
4e382b,67
665247,69
725e53,67
867269,45
bca9a2,5
7b6861,63
78675f,24
806f68,25
7c6b64,43
62514a,69
776565,16
766464,12
82706e,17
bfadab,1
705e5c,37
887674,11
7d6b67,21
96857e,13
66554e,52
76655e,41
998274,7
6c5241,30
735847,46
5f4433,33
654b3a,35
3c2515,23
594638,53
34251e,120
291a13,275
2e1f18,199
3f3029,68
483932,50
655852,8
7b6e68,5
8f817e,1
756a66,5
605551,14
665b59,13
b7adab,1
807674,1
6d6361,5
86786f,18
ad9f96,3
887a71,13
a3958c,3
7a6c63,8
6d6058,6
5c4f47,13
7b6e66,8
7e7169,4
60534b,20
675a52,12
61544c,11
84776f,12
483b33,22
45372e,35
73655c,10
5d4f44,10
625449,8
75675c,2
594b40,13
5a4c41,17
6b5d52,6
8b7d72,11
56483d,28
55473c,22
57493e,20
54463b,15
5b4d42,11
716559,3
6d6155,4
82766a,2
6c6054,5
6f6357,2
695d51,4
5f5347,9
685c50,3
65594d,3
75695d,6
5e5246,9
4b3f33,13
473b2f,14
665a4e,5
877b6f,2
54483c,15
6e6256,1
54483a,8
5c5042,5
605446,5
5a4e40,4
504436,6
716557,2
5d5143,7
675a49,2
594c3b,1
574a39,5
584b3a,2
655847,7
4d402f,1
514433,6
645746,6
635645,1
5e5140,4
6f6251,7
6a5d4c,4
534635,5
5b4e3d,3
625544,4
53473b,12
52463a,17
201408,17
3d2f22,8
483a2d,10
57493c,7
4e4033,10
685a4d,9
504235,19
605245,14
56483b,16
66584b,10
65574c,11
4c3e33,14
4f4136,16
584a3f,13
706257,8
493b30,20
4d4135,10
493d31,7
35291d,12
534739,3
44382a,9
3a2e20,4
3b2f21,7
3d3123,7
3f3325,6
615547,4
5b4f41,6
55493b,6
4d4433,1
584f3e,2
